Use feat 
 
['deepspectrum', 'fasttext', 'landmarks_2d']


Number of tfrecords train: 
 
165


Number of tfrecords devel: 
 
62

----  ----------  ----------  ----------  ----------  ----------  ----------
  ep          lr        loss         CCC    val_loss     val_CCC        time
----  ----------  ----------  ----------  ----------  ----------  ----------
   1   0.0020032    0.914262   0.0935644    0.946941    0.139809     96.6029


   2   0.0040064    0.747791    0.202607    0.879171   0.0655062     56.4608


   3   0.0060096    0.686255    0.264345    0.840041    0.102852       56.79


   4   0.0080128    0.649369    0.319039    0.780213    0.159977     56.8691


   5        0.01    0.597091    0.371265    0.757366   0.0905515     56.7706


   6  0.00998255    0.551894    0.384813    0.795201    0.283114      56.923


   7  0.00993087    0.513753    0.433405     1.00474    0.115432     57.1468


   8  0.00984536    0.479992    0.433283    0.635634    0.214734     56.9347


   9  0.00972668     0.44546    0.467002    0.857928    0.166475     56.9365


  10  0.00957573    0.414206    0.486111    0.602721     0.27771     56.7602


  11  0.00939365    0.392881    0.499692    0.609839    0.238659      56.995


  12  0.00918185    0.377479    0.501405    0.603333    0.265011     57.1749


  13  0.00894194    0.356021    0.511309    0.523663    0.257426     57.1734


  14  0.00867575    0.334244    0.550461     0.52638    0.222336     56.9012


  15  0.00838532    0.315339    0.560929    0.654789    0.279997     56.9243


  16  0.00807285    0.306211    0.560546    0.494992    0.273694      56.894


  17  0.00774074      0.2889    0.582459    0.586211    0.342593      57.142


  18  0.00739153    0.280533    0.586502    0.503405    0.309318     56.9023


  19  0.00702787    0.265425    0.609153     0.47431    0.326171     56.7023


  20  0.00665254    0.259583    0.618447    0.503922    0.314246      56.955


  21  0.00626842    0.250153    0.622148    0.736072    0.235548     56.9991


  22  0.00587843     0.24164     0.63366    0.477008    0.290074     56.8567


  23  0.00548555    0.231963    0.647749      0.4758     0.26965     57.0378


  24  0.00509278    0.222154    0.667099    0.478171    0.262433     56.8618


  25  0.00470312    0.218748    0.673891    0.470223    0.300499      56.695


  26  0.00431954      0.2115    0.669512    0.500718    0.275326     56.6245


  27  0.00394498    0.207631    0.688189    0.441446    0.303208     56.9555


  28  0.00358229    0.203893    0.691135    0.480144     0.28827     56.9979


  29  0.00323424    0.194192    0.697081    0.581865    0.291487     56.7248


  30  0.00290349    0.191431    0.709067    0.448407    0.333015     56.9625


  31  0.00259256    0.185441    0.719496    0.499209    0.326797      57.042


  32  0.00230383    0.179433    0.728979    0.466921    0.337916     56.9733


  33  0.00203951    0.178961    0.733459    0.498463    0.324659     57.1166


  34   0.0018016    0.174767    0.737598    0.455461    0.283021     57.0548


  35  0.00159194    0.171087    0.741882     0.46929      0.2789     56.7072


  36  0.00141211    0.166532    0.751805    0.462401    0.318727     56.9661


  37  0.00126349    0.163174    0.757137    0.469065    0.295312     57.1084


  38  0.00114722    0.160934    0.757319    0.480414    0.314036     56.7486


  39  0.00106418    0.158026    0.770843    0.526518    0.297879      56.849


  40    0.001015    0.158237    0.763691    0.514122    0.315943      56.824


----  ----------  ----------  ----------  ----------  ----------  ----------
  ep          lr        loss         CCC    val_loss     val_CCC        time
----  ----------  ----------  ----------  ----------  ----------  ----------
  41       0.001    0.155672     0.76405    0.512424    0.292341     57.0102


  42       0.001    0.154404    0.772468    0.465396    0.321554      57.084


  43       0.001     0.15601    0.772694    0.485782    0.313862     56.8152


  44       0.001    0.148553    0.781417    0.525379    0.283969     57.0164


  45       0.001    0.150851      0.7749    0.496176    0.321745      56.962


  46       0.001    0.149288    0.784333     0.54644    0.282325     56.7918


  47       0.001     0.14963    0.778778    0.483332    0.310375     56.8792


  48       0.001    0.145413     0.78274    0.456539    0.279841     56.7517


  49       0.001    0.149746     0.78337    0.473325     0.28122     56.7654


  50       0.001    0.142987    0.784996    0.477358    0.286804     56.6844


Generate prediction for 
 
devel


Number of tfrecords devel: 
 
62


id
 
(99155,)


timestamp
 
(99155,)


prediction_trustworthiness
 
(99155,)


trustworthiness


baseline code: 
 
0.3426


tf: 
 
tf.Tensor(0.34259325, shape=(), dtype=float32)


Check write data


id


(99155,)


timestamp


(99155,)


prediction_trustworthiness


(99155,)


trustworthiness_gt


(99155,)


Generate prediction for 
 
test


Number of tfrecords test: 
 
64


Test data do not contain label => Remove all label key in parse dict


id
 
(89686,)


timestamp
 
(89686,)


prediction_trustworthiness
 
(89686,)


Check write data


id


(89686,)


timestamp


(89686,)


prediction_trustworthiness


(89686,)
