Use feat 
 
['deepspectrum', 'fasttext', 'vggface']


Number of tfrecords train: 
 
165


Number of tfrecords devel: 
 
62


----  ----------  ----------  ----------  ----------  ----------  ----------
  ep          lr        loss         CCC    val_loss     val_CCC        time
----  ----------  ----------  ----------  ----------  ----------  ----------
   1   0.0020032    0.941296      0.1084    0.937631   0.0967181      114.78


   2   0.0040064    0.747974    0.238491    0.886346     0.17408     56.2541


   3   0.0060096    0.669816    0.332213    0.873596    0.200561     56.3229


   4   0.0080128     0.62217    0.405923    0.769109    0.153172     56.1058


   5        0.01    0.573119    0.447442    0.750007    0.138448      55.841


   6  0.00998255    0.518818    0.486619    0.931361    0.186684     55.8224


   7  0.00993087     0.48501     0.51163    0.712705    0.250896     55.9666


   8  0.00984536    0.447551    0.525992     0.86323    0.196058     56.0241


   9  0.00972668    0.411938    0.555012    0.727432    0.235977      56.014


  10  0.00957573    0.380378     0.57887    0.600244     0.22708     56.0228


  11  0.00939365     0.35698    0.593544    0.577184    0.282929     55.9538


  12  0.00918185    0.340957    0.595454    0.537024    0.288501     56.0055


  13  0.00894194    0.316487    0.613545    0.597918    0.290479     56.0995


  14  0.00867575    0.295312    0.645252     0.53268    0.232988     56.1439


  15  0.00838532     0.27582    0.656929    0.515657    0.275989     56.2929


  16  0.00807285    0.263996    0.664388    0.544991     0.28657     56.0879


  17  0.00774074    0.245179    0.686277     0.52802    0.319287     56.1383


  18  0.00739153    0.235762    0.693331    0.516616    0.249906     56.0168


  19  0.00702787    0.217219     0.71968    0.507415     0.24654     56.1585


  20  0.00665254    0.208615    0.732839    0.492009    0.317343     56.3559


  21  0.00626842    0.200065    0.734905    0.508325     0.27034     56.0448


  22  0.00587843    0.188236    0.753285    0.500312    0.296084     56.0151


  23  0.00548555    0.179354    0.763016    0.500068    0.272229     56.1504


  24  0.00509278    0.169316    0.778809    0.492572    0.226723     56.0178


  25  0.00470312    0.165393    0.784659    0.486966     0.29117     56.3751


  26  0.00431954    0.158383    0.785448    0.502504    0.277996     56.3522


  27  0.00394498     0.15075    0.804706    0.497489    0.281404     56.2093


  28  0.00358229     0.14775    0.805973     0.51271    0.269223     56.1824


  29  0.00323424    0.136141    0.819084    0.596489    0.261344     56.2577


  30  0.00290349    0.137235    0.819855    0.466617     0.30555     56.0684


  31  0.00259256    0.128543     0.83349    0.530093    0.275839     56.2639


  32  0.00230383     0.12556    0.836427     0.50633    0.283222     56.1495


  33  0.00203951    0.123066    0.842494    0.474764    0.278722     56.1531


  34   0.0018016    0.119489    0.845895    0.482872    0.248741     56.1831


  35  0.00159194    0.117526    0.847385    0.491351    0.295311      56.098


  36  0.00141211    0.113567    0.855108    0.494459    0.267692     56.0788


  37  0.00126349    0.112568    0.855137    0.487411    0.254965     56.2631


  38  0.00114722    0.110075    0.856901    0.540306    0.269798     56.0568


  39  0.00106418    0.106262    0.867858    0.539442    0.272502     56.0696


  40    0.001015    0.107452    0.862142    0.533392    0.270547      55.699


----  ----------  ----------  ----------  ----------  ----------  ----------
  ep          lr        loss         CCC    val_loss     val_CCC        time
----  ----------  ----------  ----------  ----------  ----------  ----------
  41       0.001    0.105311     0.86333    0.566798    0.260359     56.0046


  42       0.001    0.105217    0.866744    0.483113    0.272099     56.1939


  43       0.001    0.105082    0.868031    0.520493    0.266624     56.3293


  44       0.001    0.101488     0.87039    0.521463    0.278382     56.3041


  45       0.001    0.101933    0.868513    0.476127     0.24713     56.2664


  46       0.001   0.0994906    0.876668    0.519401    0.262982     56.2642


  47       0.001    0.100275    0.871533    0.490337    0.256992     56.1407


  48       0.001   0.0977838    0.873669    0.484991    0.272776     56.0652


  49       0.001    0.100564    0.873812    0.500018    0.266072      55.831


  50       0.001   0.0964326    0.874574    0.492702    0.261618     56.0497


Generate prediction for 
 
devel


Number of tfrecords devel: 
 
62


id
 
(99155,)


timestamp
 
(99155,)


prediction_trustworthiness
 
(99155,)


trustworthiness


baseline code: 
 
0.3193


tf: 
 
tf.Tensor(0.3192869, shape=(), dtype=float32)


Check write data


id


(99155,)


timestamp


(99155,)


prediction_trustworthiness


(99155,)


trustworthiness_gt


(99155,)


Generate prediction for 
 
test


Number of tfrecords test: 
 
64


Test data do not contain label => Remove all label key in parse dict

id
 
(89686,)


timestamp
 
(89686,)


prediction_trustworthiness
 
(89686,)


Check write data


id


(89686,)


timestamp


(89686,)


prediction_trustworthiness


(89686,)
